MEASURE,DATA_ITEM,REGION,TSEST,FREQ,TIME_PERIOD,value,latitude,longitude
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2020-Q1,8107,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2020-Q2,7197,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2020-Q3,6432,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2020-Q4,6600,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2021-Q1,7271,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2021-Q2,7527,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2021-Q3,8127,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2021-Q4,7958,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2022-Q1,9058,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2022-Q2,9324,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2022-Q3,9961,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2022-Q4,9033,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2023-Q1,9246,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2023-Q2,9028,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2023-Q3,9251,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2023-Q4,8923,-37.8136,144.9631
Current Prices,Goods credits,Victoria,Seasonally Adjusted,Quarterly,2024-Q1,9711,-37.8136,144.9631
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2020-Q1,14314,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2020-Q2,13929,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2020-Q3,13282,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2020-Q4,12972,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2021-Q1,13232,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2021-Q2,13959,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2021-Q3,18263,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2021-Q4,19919,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2022-Q1,21584,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2022-Q2,28585,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2022-Q3,28931,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2022-Q4,27781,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2023-Q1,25564,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2023-Q2,23254,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2023-Q3,22074,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2023-Q4,21713,-33.8688,151.2093
Current Prices,Goods credits,New South Wales,Trend,Quarterly,2024-Q1,21675,-33.8688,151.2093
Current Prices,Goods and services credits,Tasmania,Seasonally Adjusted,Quarterly,2020-Q1,1271,-42.8821,147.3272
Current Prices,Goods and services credits,Tasmania,Seasonally Adjusted,Quarterly,2020-Q2,1142,-42.8821,147.3272
Current Prices,Goods and services credits,Tasmania,Seasonally Adjusted,Quarterly,2020-Q3,1123,-42.8821,147.3272
