MEASURE,DATA_ITEM,TSEST,FREQ,TIME_PERIOD,value
Current Prices,Secondary income credits,Original,Quarterly,2022-Q1,2659
Current Prices,Secondary income credits,Original,Quarterly,2022-Q2,2917
Current Prices,Secondary income credits,Original,Quarterly,2022-Q3,3100
Current Prices,Secondary income credits,Original,Quarterly,2022-Q4,3238
Current Prices,Secondary income credits,Original,Quarterly,2023-Q1,3158
Current Prices,Secondary income credits,Original,Quarterly,2023-Q2,3348
Current Prices,Secondary income credits,Original,Quarterly,2023-Q3,3189
Current Prices,Secondary income credits,Original,Quarterly,2023-Q4,3228
Current Prices,Secondary income credits,Original,Quarterly,2024-Q1,3255
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2022-Q1,2
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2022-Q2,56
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2022-Q3,-11
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2022-Q4,-14
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2023-Q1,-14
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2023-Q2,-63
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2023-Q3,-52
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2023-Q4,-17
Current Prices,"Capital account, Acquisitions/disposals of non-produced non-financial assets",Original,Quarterly,2024-Q1,181
Current Prices,Primary income credits,Original,Quarterly,2022-Q1,20099
Current Prices,Primary income credits,Original,Quarterly,2022-Q2,22939
Current Prices,Primary income credits,Original,Quarterly,2022-Q3,22466
Current Prices,Primary income credits,Original,Quarterly,2022-Q4,25372
Current Prices,Primary income credits,Original,Quarterly,2023-Q1,22170
Current Prices,Primary income credits,Original,Quarterly,2023-Q2,23127
Current Prices,Primary income credits,Original,Quarterly,2023-Q3,24837
Current Prices,Primary income credits,Original,Quarterly,2023-Q4,25332
Current Prices,Primary income credits,Original,Quarterly,2024-Q1,25759
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2022-Q1,48758
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2022-Q2,75710
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2022-Q3,117830
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2022-Q4,96249
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2023-Q1,89084
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2023-Q2,69613
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2023-Q3,75965
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2023-Q4,152512
Current Prices,"Financial account, Financial derivatives assets",Original,Quarterly,2024-Q1,154322
Current Prices,Goods and services credits,Original,Quarterly,2022-Q1,146938
Current Prices,Goods and services credits,Original,Quarterly,2022-Q2,173949
Current Prices,Goods and services credits,Original,Quarterly,2022-Q3,170304
Current Prices,Goods and services credits,Original,Quarterly,2022-Q4,179068
Current Prices,Goods and services credits,Original,Quarterly,2023-Q1,171114
Current Prices,Goods and services credits,Original,Quarterly,2023-Q2,165557
Current Prices,Goods and services credits,Original,Quarterly,2023-Q3,163885
Current Prices,Goods and services credits,Original,Quarterly,2023-Q4,171181
Current Prices,Goods and services credits,Original,Quarterly,2024-Q1,163817
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2022-Q1,-118032
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2022-Q2,-12082
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2022-Q3,-27733
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2022-Q4,-17325
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2023-Q1,-11094
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2023-Q2,3508
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2023-Q3,-11913
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2023-Q4,-2853
Current Prices,"Financial account, Direct investment assets",Original,Quarterly,2024-Q1,-10678
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2022-Q1,62889
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2022-Q2,6961
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2022-Q3,32111
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2022-Q4,-5691
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2023-Q1,12815
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2023-Q2,-2623
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2023-Q3,11580
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2023-Q4,27885
Current Prices,"Financial account, Direct investment liabilities",Original,Quarterly,2024-Q1,26533
Current Prices,Goods and services debits,Original,Quarterly,2022-Q1,-117901
Current Prices,Goods and services debits,Original,Quarterly,2022-Q2,-128047
Current Prices,Goods and services debits,Original,Quarterly,2022-Q3,-144144
Current Prices,Goods and services debits,Original,Quarterly,2022-Q4,-145097
Current Prices,Goods and services debits,Original,Quarterly,2023-Q1,-133041
Current Prices,Goods and services debits,Original,Quarterly,2023-Q2,-139314
Current Prices,Goods and services debits,Original,Quarterly,2023-Q3,-151328
Current Prices,Goods and services debits,Original,Quarterly,2023-Q4,-147126
Current Prices,Goods and services debits,Original,Quarterly,2024-Q1,-142320
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2022-Q1,-51563
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2022-Q2,-77484
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2022-Q3,-111840
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2022-Q4,-106218
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2023-Q1,-94557
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2023-Q2,-69852
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2023-Q3,-67373
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2023-Q4,-188307
Current Prices,"Financial account, Financial derivatives liabilities",Original,Quarterly,2024-Q1,-161435
Current Prices,Primary income,Original,Quarterly,2022-Q1,-26762
Current Prices,Primary income,Original,Quarterly,2022-Q2,-25553
Current Prices,Primary income,Original,Quarterly,2022-Q3,-35900
Current Prices,Primary income,Original,Quarterly,2022-Q4,-23694
Current Prices,Primary income,Original,Quarterly,2023-Q1,-31680
Current Prices,Primary income,Original,Quarterly,2023-Q2,-17058
Current Prices,Primary income,Original,Quarterly,2023-Q3,-26204
Current Prices,Primary income,Original,Quarterly,2023-Q4,-17184
Current Prices,Primary income,Original,Quarterly,2024-Q1,-25816
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2022-Q1,-2805
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2022-Q2,-1774
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2022-Q3,5990
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2022-Q4,-9969
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2023-Q1,-5472
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2023-Q2,-239
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2023-Q3,8592
Current Prices,"Financial account, Financial derivatives",Original,Quarterly,2023-Q4,-35795
