COMMODITY_SITC,COUNTRY_DEST,STATE_ORIGIN,FREQ,TIME_PERIOD,value
Beverages and tobacco,Total,Total,Monthly,2000-01,88844
Beverages and tobacco,Total,Total,Monthly,2000-02,121597
Beverages and tobacco,Total,Total,Monthly,2000-03,139584
Beverages and tobacco,Total,Total,Monthly,2000-04,140644
Beverages and tobacco,Total,Total,Monthly,2000-05,149004
Beverages and tobacco,Total,Total,Monthly,2000-06,148700
Beverages and tobacco,Total,Total,Monthly,2000-07,163075
Beverages and tobacco,Total,Total,Monthly,2000-08,162424
Beverages and tobacco,Total,Total,Monthly,2000-09,184400
Beverages and tobacco,Total,Total,Monthly,2000-10,186838
Beverages and tobacco,Total,Total,Monthly,2000-11,134851
Beverages and tobacco,Total,Total,Monthly,2000-12,149003
Beverages and tobacco,Total,Total,Monthly,2001-01,116079
Beverages and tobacco,Total,Total,Monthly,2001-02,153404
Beverages and tobacco,Total,Total,Monthly,2001-03,176971
Beverages and tobacco,Total,Total,Monthly,2001-04,195309
Beverages and tobacco,Total,Total,Monthly,2001-05,188033
Beverages and tobacco,Total,Total,Monthly,2001-06,182591
Beverages and tobacco,Total,Total,Monthly,2001-07,162472
Beverages and tobacco,Total,Total,Monthly,2001-08,204312
Beverages and tobacco,Total,Total,Monthly,2001-09,238229
Beverages and tobacco,Total,Total,Monthly,2001-10,228213
Beverages and tobacco,Total,Total,Monthly,2001-11,153656
Beverages and tobacco,Total,Total,Monthly,2001-12,186669
Beverages and tobacco,Total,Total,Monthly,2002-01,124548
Beverages and tobacco,Total,Total,Monthly,2002-02,156449
Beverages and tobacco,Total,Total,Monthly,2002-03,212945
Beverages and tobacco,Total,Total,Monthly,2002-04,209319
Beverages and tobacco,Total,Total,Monthly,2002-05,237831
Beverages and tobacco,Total,Total,Monthly,2002-06,245546
Beverages and tobacco,Total,Total,Monthly,2002-07,198798
Beverages and tobacco,Total,Total,Monthly,2002-08,218613
Beverages and tobacco,Total,Total,Monthly,2002-09,291159
Beverages and tobacco,Total,Total,Monthly,2002-10,258476
Beverages and tobacco,Total,Total,Monthly,2002-11,204929
Beverages and tobacco,Total,Total,Monthly,2002-12,257721
Beverages and tobacco,Total,Total,Monthly,2003-01,161179
Beverages and tobacco,Total,Total,Monthly,2003-02,193710
Beverages and tobacco,Total,Total,Monthly,2003-03,249138
Beverages and tobacco,Total,Total,Monthly,2003-04,228176
Beverages and tobacco,Total,Total,Monthly,2003-05,218664
Beverages and tobacco,Total,Total,Monthly,2003-06,243667
Beverages and tobacco,Total,Total,Monthly,2003-07,218961
Beverages and tobacco,Total,Total,Monthly,2003-08,245064
Beverages and tobacco,Total,Total,Monthly,2003-09,234760
Beverages and tobacco,Total,Total,Monthly,2003-10,238218
Beverages and tobacco,Total,Total,Monthly,2003-11,183773
Beverages and tobacco,Total,Total,Monthly,2003-12,210368
Beverages and tobacco,Total,Total,Monthly,2004-01,174670
Beverages and tobacco,Total,Total,Monthly,2004-02,217243
Beverages and tobacco,Total,Total,Monthly,2004-03,245800
Beverages and tobacco,Total,Total,Monthly,2004-04,231897
Beverages and tobacco,Total,Total,Monthly,2004-05,249742
Beverages and tobacco,Total,Total,Monthly,2004-06,266636
Beverages and tobacco,Total,Total,Monthly,2004-07,233374
Beverages and tobacco,Total,Total,Monthly,2004-08,264922
Beverages and tobacco,Total,Total,Monthly,2004-09,281796
Beverages and tobacco,Total,Total,Monthly,2004-10,300320
Beverages and tobacco,Total,Total,Monthly,2004-11,233237
Beverages and tobacco,Total,Total,Monthly,2004-12,243662
Beverages and tobacco,Total,Total,Monthly,2005-01,196410
Beverages and tobacco,Total,Total,Monthly,2005-02,194749
Beverages and tobacco,Total,Total,Monthly,2005-03,241735
Beverages and tobacco,Total,Total,Monthly,2005-04,246917
Beverages and tobacco,Total,Total,Monthly,2005-05,240477
Beverages and tobacco,Total,Total,Monthly,2005-06,256738
Beverages and tobacco,Total,Total,Monthly,2005-07,258413
Beverages and tobacco,Total,Total,Monthly,2005-08,256748
Beverages and tobacco,Total,Total,Monthly,2005-09,291599
Beverages and tobacco,Total,Total,Monthly,2005-10,321373
Beverages and tobacco,Total,Total,Monthly,2005-11,202153
Beverages and tobacco,Total,Total,Monthly,2005-12,255703
Beverages and tobacco,Total,Total,Monthly,2006-01,190822
Beverages and tobacco,Total,Total,Monthly,2006-02,207482
Beverages and tobacco,Total,Total,Monthly,2006-03,239819
Beverages and tobacco,Total,Total,Monthly,2006-04,238784
Beverages and tobacco,Total,Total,Monthly,2006-05,246599
Beverages and tobacco,Total,Total,Monthly,2006-06,273141
Beverages and tobacco,Total,Total,Monthly,2006-07,244328
