COMMODITY_SITC,COUNTRY_ORIGIN,STATE_DEST,FREQ,TIME_PERIOD,value
Beverages and tobacco,Total,Total,Monthly,2000-07,69022
Beverages and tobacco,Total,Total,Monthly,2000-08,82097
Beverages and tobacco,Total,Total,Monthly,2000-09,66756
Beverages and tobacco,Total,Total,Monthly,2000-10,80463
Beverages and tobacco,Total,Total,Monthly,2000-11,92884
Beverages and tobacco,Total,Total,Monthly,2000-12,85794
Beverages and tobacco,Total,Total,Monthly,2001-01,80414
Beverages and tobacco,Total,Total,Monthly,2001-02,58496
Beverages and tobacco,Total,Total,Monthly,2001-03,69607
Beverages and tobacco,Total,Total,Monthly,2001-04,76320
Beverages and tobacco,Total,Total,Monthly,2001-05,82229
Beverages and tobacco,Total,Total,Monthly,2001-06,63004
Beverages and tobacco,Total,Total,Monthly,2001-07,60679
Beverages and tobacco,Total,Total,Monthly,2001-08,74232
Beverages and tobacco,Total,Total,Monthly,2001-09,76111
Beverages and tobacco,Total,Total,Monthly,2001-10,105213
Beverages and tobacco,Total,Total,Monthly,2001-11,108109
Beverages and tobacco,Total,Total,Monthly,2001-12,81534
Beverages and tobacco,Total,Total,Monthly,2002-01,73911
Beverages and tobacco,Total,Total,Monthly,2002-02,48584
Beverages and tobacco,Total,Total,Monthly,2002-03,56613
Beverages and tobacco,Total,Total,Monthly,2002-04,66968
Beverages and tobacco,Total,Total,Monthly,2002-05,54300
Beverages and tobacco,Total,Total,Monthly,2002-06,57353
Beverages and tobacco,Total,Total,Monthly,2002-07,76062
Beverages and tobacco,Total,Total,Monthly,2002-08,87552
Beverages and tobacco,Total,Total,Monthly,2002-09,124212
Beverages and tobacco,Total,Total,Monthly,2002-10,115808
Beverages and tobacco,Total,Total,Monthly,2002-11,125652
Beverages and tobacco,Total,Total,Monthly,2002-12,80320
Beverages and tobacco,Total,Total,Monthly,2003-01,93470
Beverages and tobacco,Total,Total,Monthly,2003-02,57222
Beverages and tobacco,Total,Total,Monthly,2003-03,79520
Beverages and tobacco,Total,Total,Monthly,2003-04,79553
Beverages and tobacco,Total,Total,Monthly,2003-05,74872
Beverages and tobacco,Total,Total,Monthly,2003-06,68223
Beverages and tobacco,Total,Total,Monthly,2003-07,78439
Beverages and tobacco,Total,Total,Monthly,2003-08,76921
Beverages and tobacco,Total,Total,Monthly,2003-09,95163
Beverages and tobacco,Total,Total,Monthly,2003-10,104775
Beverages and tobacco,Total,Total,Monthly,2003-11,74991
Beverages and tobacco,Total,Total,Monthly,2003-12,76643
Beverages and tobacco,Total,Total,Monthly,2004-01,64617
Beverages and tobacco,Total,Total,Monthly,2004-02,60865
Beverages and tobacco,Total,Total,Monthly,2004-03,70568
Beverages and tobacco,Total,Total,Monthly,2004-04,74945
Beverages and tobacco,Total,Total,Monthly,2004-05,59984
Beverages and tobacco,Total,Total,Monthly,2004-06,63674
Beverages and tobacco,Total,Total,Monthly,2004-07,77549
